primaryImage,Artist Display Name
https://images.metmuseum.org/CRDImages/ad/original/25534.jpg,Gilbert Stuart
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-019.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-011.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-001.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-003.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-009.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-013.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-023.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-053.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-047.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-051.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-033.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-031.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-025.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-027.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-007.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-021.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-035.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-015.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-029.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-037.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-017.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-005.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-045.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-049.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-041.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-043.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/DP-1427-039.jpg,William P. Chappel
https://images.metmuseum.org/CRDImages/ad/original/ap74.29.jpg,John Frederick Kensett
https://images.metmuseum.org/CRDImages/ad/original/APS530.jpg,John Frederick Kensett
https://images.metmuseum.org/CRDImages/ad/original/ap74.39.jpg,John Frederick Kensett
https://images.metmuseum.org/CRDImages/ad/original/DT2891.jpg,John Frederick Kensett
https://images.metmuseum.org/CRDImages/ad/original/DT84.jpg,John Frederick Kensett
https://images.metmuseum.org/CRDImages/ad/original/APS3540.jpg,John Frederick Kensett
https://images.metmuseum.org/CRDImages/ad/original/ap74.11.jpg,John Frederick Kensett
https://images.metmuseum.org/CRDImages/ad/original/ap74.20.jpg,John Frederick Kensett
https://images.metmuseum.org/CRDImages/ad/original/ap74.7.jpg,John Frederick Kensett
https://images.metmuseum.org/CRDImages/ad/original/ap74.6.jpg,John Frederick Kensett
https://images.metmuseum.org/CRDImages/ad/original/ap74.25.jpg,John Frederick Kensett
https://images.metmuseum.org/CRDImages/ad/original/ap74.38.jpg,John Frederick Kensett
https://images.metmuseum.org/CRDImages/ad/original/ap74.27.jpg,John Frederick Kensett
https://images.metmuseum.org/CRDImages/ad/original/ap74.28.jpg,John Frederick Kensett
https://images.metmuseum.org/CRDImages/ad/original/ap74.35.jpg,John Frederick Kensett
https://images.metmuseum.org/CRDImages/ad/original/ap74.13.jpg,John Frederick Kensett
https://images.metmuseum.org/CRDImages/ad/original/ap25.110.5.jpg,John Frederick Kensett
https://images.metmuseum.org/CRDImages/ad/original/ap74.37.jpg,John Frederick Kensett
https://images.metmuseum.org/CRDImages/ad/original/DT226485.jpg,John Frederick Kensett
https://images.metmuseum.org/CRDImages/ad/original/ap74.30.jpg,John Frederick Kensett
